split,step,n_samples,code_rate,output_rate,avg_code_blocks,avg_len_chars
train,112,256,0.875,0.7305,1.41,3555.3
train,113,256,0.9141,0.7578,1.383,3313.7
train,114,256,0.8945,0.7617,1.398,3347.4
train,115,256,0.875,0.7344,1.359,3205.7
train,116,256,0.9023,0.7969,1.504,3271.0
train,117,256,0.8984,0.7773,1.496,3181.7
train,118,256,0.8672,0.7383,1.371,3515.9
train,119,256,0.8711,0.7461,1.5,3739.2
train,120,256,0.8047,0.6914,1.258,3282.9
train,121,256,0.8789,0.7227,1.367,3351.8
train,122,256,0.8594,0.6914,1.418,3103.0
train,123,256,0.8398,0.6836,1.285,3468.3
train,124,256,0.8828,0.7344,1.375,3060.4
train,125,256,0.8867,0.7266,1.395,3135.3
train,126,256,0.8672,0.7188,1.344,3358.0
train,127,256,0.8555,0.75,1.352,3543.3
train,128,256,0.7891,0.6445,1.254,3048.9
train,129,256,0.832,0.7109,1.395,3613.0
train,130,256,0.8477,0.7383,1.348,3162.6
train,131,256,0.8164,0.7109,1.215,3248.4
train,132,256,0.8906,0.7969,1.465,3545.6
train,133,256,0.8867,0.7109,1.363,3022.9
train,134,256,0.8867,0.7734,1.363,3119.2
train,135,256,0.7891,0.6445,1.27,3039.9
train,136,256,0.8359,0.7383,1.312,2891.2
train,137,256,0.8477,0.6797,1.312,3395.2
train,138,256,0.8984,0.7891,1.469,3118.5
train,139,256,0.8672,0.7383,1.277,3148.3
train,140,256,0.9141,0.7969,1.422,3270.9
train,141,256,0.875,0.7383,1.328,3182.9
train,142,256,0.8398,0.7266,1.215,3268.1
train,143,256,0.8672,0.7383,1.344,3164.1
train,144,256,0.8359,0.7344,1.379,3451.1
train,145,256,0.8203,0.6992,1.309,3159.6
train,146,256,0.8867,0.7344,1.387,3065.9
train,147,256,0.7969,0.6953,1.246,3082.0
train,148,256,0.8906,0.7734,1.516,3142.4
train,149,256,0.8438,0.7266,1.223,2916.9
train,150,256,0.8398,0.7148,1.254,3079.6
train,151,256,0.8164,0.6641,1.23,2980.9
train,152,256,0.8594,0.7422,1.312,3317.4
train,153,256,0.8477,0.7031,1.375,3048.1
train,154,256,0.832,0.7109,1.379,3027.4
train,155,256,0.8906,0.7734,1.406,3239.7
train,156,256,0.8242,0.7422,1.352,3124.2
train,157,256,0.7969,0.6641,1.129,3089.4
train,158,256,0.7891,0.6602,1.199,3175.7
train,159,256,0.8125,0.6328,1.109,3264.7
train,160,256,0.7812,0.6523,1.219,3336.1
train,161,256,0.8086,0.7031,1.27,3249.8
train,162,256,0.8203,0.6523,1.344,3310.2
train,163,256,0.8477,0.75,1.32,3214.4
train,164,256,0.8125,0.7383,1.336,3339.4
train,165,256,0.7969,0.668,1.215,3166.8
train,166,256,0.8086,0.707,1.316,3135.6
train,167,256,0.8203,0.7109,1.359,3339.0
train,168,256,0.8398,0.7578,1.328,3372.9
train,169,256,0.7812,0.6719,1.266,3052.3
train,170,256,0.7852,0.6523,1.246,3070.4
train,171,256,0.7969,0.668,1.227,3160.6
train,172,256,0.7852,0.6523,1.219,3104.3
train,173,256,0.8203,0.6289,1.227,3360.7
train,174,256,0.832,0.7148,1.223,2893.4
train,175,256,0.7969,0.707,1.254,3172.4
train,176,256,0.7852,0.7305,1.215,3168.3
train,177,256,0.8594,0.7539,1.281,2989.4
train,178,256,0.7773,0.625,1.16,3140.9
train,179,256,0.7969,0.6914,1.184,2879.1
train,180,256,0.8242,0.7148,1.316,3169.4
train,181,256,0.7383,0.6641,1.281,3244.5
train,182,256,0.832,0.7344,1.426,3483.4
train,183,256,0.8477,0.6758,1.293,3009.9
train,184,256,0.7695,0.6953,1.246,2850.8
train,185,256,0.7617,0.6523,1.195,3484.6
train,186,256,0.793,0.7148,1.254,2969.2
train,187,256,0.8164,0.7539,1.305,3187.9
train,188,256,0.7734,0.6953,1.277,2917.8
train,189,256,0.7812,0.6797,1.215,3046.6
train,190,256,0.8008,0.6875,1.184,3010.8
train,191,256,0.7656,0.6289,1.082,3069.0
train,192,256,0.7969,0.7031,1.297,3506.2
train,193,256,0.8125,0.6953,1.289,3072.2
train,194,256,0.7148,0.6367,1.082,3081.3
train,195,256,0.8125,0.7148,1.289,3421.5
train,196,256,0.7617,0.6484,1.137,2768.4
train,197,256,0.7695,0.6172,1.094,3066.1
train,198,256,0.8047,0.7188,1.25,3248.2
train,199,256,0.832,0.707,1.281,3266.6
train,200,256,0.8359,0.7344,1.309,3444.7
train,202,256,0.793,0.6953,1.227,3283.6
train,203,256,0.7969,0.7266,1.355,3479.4
train,204,256,0.75,0.6719,1.117,3136.9
train,205,256,0.8008,0.6875,1.23,3223.1
train,206,256,0.793,0.7148,1.215,3128.5
train,207,256,0.7617,0.6445,1.215,3190.0
train,208,256,0.8008,0.6953,1.293,3116.3
train,209,256,0.8242,0.7461,1.277,3025.1
train,210,256,0.7773,0.6914,1.184,3049.6
train,211,256,0.7734,0.6602,1.145,3101.1
train,212,256,0.7773,0.6797,1.242,2781.0
train,213,256,0.7188,0.582,1.09,3143.9
train,214,256,0.7734,0.6602,1.172,3154.8
train,215,256,0.7461,0.5859,1.098,3277.6
train,216,256,0.7461,0.6562,1.246,3274.1
train,217,256,0.8047,0.7031,1.285,3044.8
train,218,256,0.7656,0.6367,1.129,2978.0
train,219,256,0.8125,0.7188,1.324,3084.8
train,220,256,0.8008,0.6953,1.309,3134.6
train,221,256,0.7578,0.6289,1.082,2795.8
train,222,256,0.8203,0.7539,1.258,3283.0
train,223,256,0.7656,0.6641,1.152,3195.8
train,224,256,0.7812,0.6914,1.293,3164.3
train,225,256,0.7969,0.668,1.23,3109.1
train,226,256,0.8203,0.6875,1.277,3185.2
train,227,256,0.7578,0.6445,1.215,2883.6
train,228,256,0.7109,0.6367,1.129,3098.3
train,229,256,0.7031,0.5898,1.055,3097.5
train,230,256,0.7031,0.6016,1.062,3056.3
train,231,256,0.7266,0.6367,1.137,3279.4
train,232,256,0.7344,0.6445,1.074,3032.9
train,233,256,0.6992,0.5234,0.98,3097.1
train,234,256,0.832,0.7539,1.391,3220.7
train,235,256,0.7422,0.6641,1.168,3087.9
train,236,256,0.6914,0.5977,1.035,2830.6
train,237,256,0.7852,0.6602,1.168,2919.2
train,238,256,0.7617,0.6445,1.191,2982.5
train,239,256,0.7148,0.5938,1.094,2925.0
train,240,256,0.7031,0.5625,1.027,3003.8
train,241,256,0.7031,0.5703,1.121,2954.0
train,242,256,0.75,0.6016,1.215,2954.7
train,243,256,0.7695,0.668,1.207,2915.2
train,244,256,0.7656,0.6406,1.242,3200.0
train,245,256,0.7109,0.543,1.004,3040.4
train,246,256,0.6875,0.5586,0.992,2864.9
train,247,256,0.6953,0.5742,1.039,3004.5
train,248,256,0.6836,0.5781,0.984,2900.5
train,249,256,0.8047,0.7148,1.309,3078.9
train,250,256,0.7617,0.6484,1.137,2970.6
train,251,256,0.7148,0.6406,1.082,2781.7
train,252,256,0.7617,0.668,1.16,2945.0
train,253,256,0.7344,0.625,1.117,3047.5
train,254,256,0.7461,0.625,1.145,3087.3
train,255,256,0.6484,0.4844,0.898,2854.5
train,256,256,0.7734,0.6562,1.188,3151.6
train,257,256,0.7031,0.5859,0.992,2949.7
train,258,256,0.7461,0.6562,1.219,2664.0
train,259,256,0.7969,0.6602,1.129,3027.1
train,260,256,0.75,0.6172,1.113,2820.2
train,261,256,0.7422,0.6055,1.168,2799.8
train,262,256,0.7617,0.6836,1.16,3137.2
train,263,256,0.7578,0.6445,1.188,3072.1
train,264,256,0.7812,0.6641,1.25,3021.9
test,10,374,0.9064,0.7861,1.61,3859.5
test,20,374,0.885,0.8048,1.623,3780.9
test,30,374,0.8957,0.8342,1.652,3836.3
test,40,374,0.8663,0.7914,1.588,3855.2
test,50,374,0.9144,0.8075,1.596,3574.7
test,60,374,0.8877,0.7834,1.572,3633.1
test,70,374,0.9305,0.8396,1.626,3675.3
test,80,374,0.8877,0.8021,1.551,3551.1
test,90,374,0.8743,0.7941,1.527,3790.6
test,100,374,0.8824,0.8102,1.535,3655.3
test,110,374,0.8824,0.7888,1.537,3677.8
test,120,374,0.8957,0.7888,1.463,3565.2
test,130,374,0.8342,0.7406,1.385,3557.7
test,140,374,0.8422,0.7513,1.345,3435.8
test,150,374,0.8128,0.7433,1.332,3477.3
test,160,374,0.8182,0.7112,1.385,3469.6
test,170,374,0.8529,0.7781,1.492,3628.6
test,180,374,0.8289,0.7513,1.455,3337.0
test,190,374,0.7487,0.6738,1.273,3345.3
test,210,374,0.7914,0.6925,1.299,3351.7
test,220,374,0.7433,0.6872,1.305,3319.9
test,230,374,0.7219,0.6444,1.158,3372.8
test,240,374,0.7219,0.6497,1.251,3250.9
test,250,374,0.7299,0.6337,1.222,3221.2
test,260,374,0.7246,0.6096,1.155,3214.4
